22c2f30	Daniel Oliva Bianco	2016-04-18 17:26:48 -0300	Add data to DB
b141ca7	Daniel Oliva Bianco	2016-04-18 12:22:01 -0300	Add TransactionStatus and TransactionType to the transaction values
16434e4	Daniel Oliva Bianco	2016-04-16 18:19:19 -0300	Add commitment and disbursement for geojson
394b11d	Daniel Oliva Bianco	2016-04-15 16:36:56 -0300	Add commitments and disbursements
91e2b58	sdimunzio	2016-04-15 03:00:35 -0300	SVG render
cccb39e	sdimunzio	2016-04-15 03:00:11 -0300	Layer control with immutability and dynamic data
d279485	Daniel Oliva Bianco	2016-04-14 13:15:27 -0300	Fix for locations filters, to have them in a tree structure
faac200	mbertoli	2016-04-14 12:06:23 -0300	filters apply to charts fix missed some filtes styles
b796579	mbertoli	2016-04-13 12:43:52 -0300	Merge pull request #42 from devgateway/filters
380d26a	mbertoli	2016-04-13 12:43:01 -0300	missed files
8a67cc6	Sebastian Dimunzio	2016-04-13 12:38:46 -0300	Merge pull request #41 from devgateway/filters
9ec806d	mbertoli	2016-04-13 12:37:16 -0300	charts
9f88d03	Sebastian Dimunzio	2016-04-13 12:34:32 -0300	Merge pull request #40 from devgateway/charts
20fbaf8	Daniel Oliva Bianco	2016-04-13 09:03:10 -0300	Free text search + Physical Status filter and chart
e50a136	Daniel Oliva Bianco	2016-04-12 19:45:48 -0300	Add PhysicalStatus chart, filter and update the other endpoints
b64724b	mbertoli	2016-04-11 16:35:26 -0300	Merge branch 'master' into filters
2162190	mbertoli	2016-04-11 16:27:49 -0300	N/A
e51bccd	mbertoli	2016-04-11 16:20:39 -0300	charts - partial
11fb4bf	Daniel Oliva	2016-04-11 16:09:43 -0300	Merge pull request #39 from devgateway/charts
9874332	Daniel Oliva Bianco	2016-04-11 16:08:19 -0300	Change , for . at ChartService
d5c5ff8	mbertoli	2016-04-08 09:57:06 -0300	Merge branch 'master' into filters
985e404	mbertoli	2016-04-08 09:54:57 -0300	charts component
6435a34	Daniel Oliva	2016-04-07 11:51:43 -0300	Merge pull request #38 from devgateway/charts
d5630a0	Daniel Oliva Bianco	2016-04-07 11:50:37 -0300	fix for missing query
1540f45	Daniel Oliva	2016-04-07 11:41:47 -0300	Merge pull request #37 from devgateway/charts
2267745	Daniel Oliva Bianco	2016-04-07 11:37:30 -0300	add security project to the pom.xml
492371b	Daniel Oliva	2016-04-07 10:59:08 -0300	Merge pull request #36 from devgateway/charts
f29ede7	Daniel Oliva	2016-04-07 10:58:57 -0300	Merge pull request #35 from devgateway/security
29c316f	Daniel Oliva	2016-04-07 10:58:48 -0300	Merge pull request #34 from devgateway/filters
50f83f9	Daniel Oliva Bianco	2016-04-07 10:51:57 -0300	Add ImplementingAgency chart
c86683b	mbertoli	2016-04-06 17:24:34 -0300	Merge branch 'html' into filters
3f6fce7	mbertoli	2016-04-06 17:18:08 -0300	test charts
765d555	Sebastian Dimunzio	2016-04-06 01:15:38 -0300	Merge branch 'html' of https://github.com/devgateway/geoph into html
08ed103	Sebastian Dimunzio	2016-04-06 00:46:04 -0300	HTML + layer control
e0d243a	Sebastian Dimunzio	2016-04-06 00:46:04 -0300	HTML + layer control
9a5f46f	Sebastian Dimunzio	2016-04-05 00:57:36 -0300	header html
453dc88	Daniel Oliva Bianco	2016-04-04 17:37:43 -0300	GEOPH-82 Charts - By Funding Institution (Back End)
0dc74a3	Daniel Oliva Bianco	2016-04-04 09:57:57 -0300	GEOPH-9 - Authentication mechanism to login users and role assign
1a278e5	mbertoli	2016-04-01 17:43:38 -0300	range slider
e40dc6c	Daniel Oliva Bianco	2016-04-01 17:01:50 -0300	not working the user login
e6589cf	Daniel Oliva Bianco	2016-03-31 18:30:21 -0300	Adding auth mechanism
1d33b0e	mbertoli	2016-03-31 12:26:24 -0300	Merge branch 'master' into filters
a60f0a6	mbertoli	2016-03-31 12:16:52 -0300	date filter
9461ce7	mbertoli	2016-03-31 12:13:39 -0300	Merge pull request #33 from devgateway/layers_filters
260c940	Daniel Oliva	2016-03-31 10:40:19 -0300	Merge pull request #32 from devgateway/modeling
b4a8870	Daniel Oliva Bianco	2016-03-31 10:39:30 -0300	Fix null pointer for province
ce025a0	mbertoli	2016-03-30 17:31:58 -0300	date filter - partial
3f2a9f5	mbertoli	2016-03-30 17:30:24 -0300	Merge branch 'master' of https://github.com/devgateway/geoph into filters
dfe2835	Daniel Oliva	2016-03-30 15:49:11 -0300	Merge pull request #31 from devgateway/modeling
